student_ID,title_ID,st_max_score,st_pfm_tc,st_pfm_mem,st_tt_subNum,st_tt_period,st_fm_subNum,st_fm_period,st_errs,st_exploreNum,st_fm_time,st_ac_flag,st_ac_time
8b6d1125760bd3939b6e,Question_bumGRTJ0c8p4v5D6eHZa,3,3,320,3,2966.0,3,2966.0,Absolutely_Error,2,1704209872.0,1.0,1704209872.0
8b6d1125760bd3939b6e,Question_62XbhBvJ8NUSnApgDL94,3,3,356,6,3443.0,6,3443.0,Error1,5,1704209852.0,1.0,1704209852.0
8b6d1125760bd3939b6e,Question_ZTbD7mxr2OUp8Fz6iNjy,3,2,196,5,3841.0,5,3841.0,Error1,4,1704209838.0,1.0,1704209838.0
8b6d1125760bd3939b6e,Question_xqlJkmRaP0otZcX4fK3W,3,3,308,1,0.0,1,0.0,,0,1704206880.0,1.0,1704206880.0
8b6d1125760bd3939b6e,Question_FNg8X9v5zcbB1tQrxHR3,4,3,328,3,52.0,3,52.0,Error1,2,1704207081.0,1.0,1704207081.0
8b6d1125760bd3939b6e,Question_hZ5wXofebmTlzKB1jNcP,3,2,324,1,0.0,1,0.0,,0,1704206986.0,1.0,1704206986.0
8b6d1125760bd3939b6e,Question_X3wF8QlTyi4mZkDp9Kae,3,4,444,1,0.0,1,0.0,,0,1704206799.0,1.0,1704206799.0
8b6d1125760bd3939b6e,Question_oCjnFLbIs4Uxwek9rBpu,3,3,192,1,0.0,1,0.0,,0,1704206721.0,1.0,1704206721.0
8b6d1125760bd3939b6e,Question_EhVPdmlB31M8WKGqL0wc,3,2,196,1,0.0,1,0.0,,0,1704206680.0,1.0,1704206680.0
8b6d1125760bd3939b6e,Question_UXqN1F7G3Sbldz02vZne,3,2,320,1,0.0,1,0.0,,0,1704206578.0,1.0,1704206578.0
8b6d1125760bd3939b6e,Question_x2Fy7rZ3SwYl9jMQkpOD,3,3,332,2,19.0,2,19.0,Error1,1,1704206533.0,1.0,1704206533.0
8b6d1125760bd3939b6e,Question_BW0ItEaymH3TkD6S15JF,1,2,200,6,422.0,6,422.0,Absolutely_Error;Error1,5,1698302348.0,1.0,1698302348.0
8b6d1125760bd3939b6e,Question_h7pXNg80nJbw1C4kAPRm,3,3,312,1,0.0,1,0.0,,0,1700015081.0,1.0,1700015081.0
8b6d1125760bd3939b6e,Question_rvB9mVE6Kbd8jAY4NwPx,1,4,316,1,0.0,1,0.0,,0,1698302721.0,1.0,1698302721.0
8b6d1125760bd3939b6e,Question_q7OpB2zCMmW9wS8uNt3H,1,4,200,8,492.0,8,492.0,Absolutely_Error;Error1;Error2,7,1698300935.0,1.0,1698300935.0
8b6d1125760bd3939b6e,Question_YWXHr4G6Cl7bEm9iF2kQ,3,3,344,1,0.0,1,0.0,,0,1704206832.0,1.0,1704206832.0
8b6d1125760bd3939b6e,Question_5fgqjSBwTPG7KUV3it6O,3,3,308,1,0.0,1,0.0,,0,1704206762.0,1.0,1704206762.0
8b6d1125760bd3939b6e,Question_Az73sM0rHfWVKuc4X2kL,3,3,312,1,0.0,1,0.0,,0,1704206640.0,1.0,1704206640.0
8b6d1125760bd3939b6e,Question_Ou3f2Wt9BqExm5DpN7Zk,3,2,320,1,0.0,1,0.0,,0,1704206618.0,1.0,1704206618.0
8b6d1125760bd3939b6e,Question_Mh4CZIsrEfxkP1wXtOYV,3,2,484,1,0.0,1,0.0,,0,1704206352.0,1.0,1704206352.0
8b6d1125760bd3939b6e,Question_lU2wvHSZq7m43xiVroBc,3,2,316,1,0.0,1,0.0,,0,1704206304.0,1.0,1704206304.0
8b6d1125760bd3939b6e,Question_Ej5mBw9rsOUKkFycGvz2,3,3,320,1,0.0,1,0.0,,0,1704206251.0,1.0,1704206251.0
8b6d1125760bd3939b6e,Question_pVKXjZn0BkSwYcsa7C31,3,2,196,1,0.0,1,0.0,,0,1704206203.0,1.0,1704206203.0
8b6d1125760bd3939b6e,Question_QRm48lXxzdP7Tn1WgNOf,3,2,312,1,0.0,1,0.0,,0,1704206173.0,1.0,1704206173.0
8b6d1125760bd3939b6e,Question_Jr4Wz5jLqmN01KUwHa7g,3,5,320,1,0.0,1,0.0,,0,1704206137.0,1.0,1704206137.0
8b6d1125760bd3939b6e,Question_7NJzCXUPcvQF4Mkfh9Wr,3,3,344,1,0.0,1,0.0,,0,1704205918.0,1.0,1704205918.0
8b6d1125760bd3939b6e,Question_n2BTxIGw1Mc3Zo6RLdUe,3,2,332,2,11.0,2,11.0,Error1,1,1704205878.0,1.0,1704205878.0
8b6d1125760bd3939b6e,Question_NixCn84GdK2tySa5rB1V,3,3,320,1,0.0,1,0.0,,0,1704205818.0,1.0,1704205818.0
8b6d1125760bd3939b6e,Question_TmKaGvfNoXYq4FZ2JrBu,3,2,324,1,0.0,1,0.0,,0,1704205782.0,1.0,1704205782.0
8b6d1125760bd3939b6e,Question_s6VmP1G4UbEQWRYHK9Fd,2,3,320,2,6.0,2,6.0,Error1,1,1704205741.0,1.0,1704205741.0
8b6d1125760bd3939b6e,Question_tgOjrpZLw4RdVzQx85h6,2,2,188,1,0.0,1,0.0,,0,1704205691.0,1.0,1704205691.0
8b6d1125760bd3939b6e,Question_4nHcauCQ0Y6Pm8DgKlLo,3,2,360,2,16.0,2,16.0,Error1,1,1704205545.0,1.0,1704205545.0
8b6d1125760bd3939b6e,Question_6RQj2gF3OeK5AmDvThUV,3,3,344,2,341.0,2,341.0,,1,1700016424.0,1.0,1700016424.0
8b6d1125760bd3939b6e,Question_3MwAFlmNO8EKrpY5zjUd,2,2,468,4,1401.0,3,1373.0,,2,1698925298.0,1.0,1698925298.0
8b6d1125760bd3939b6e,Question_x2L7AqbMuTjCwPFy6vNr,2,3,320,1,0.0,1,0.0,,0,1698925836.0,1.0,1698925836.0
