index,title_ID,score,knowledge,sub_knowledge,knowledge_num,sub_knowledge_num,t_sbmnum,t_mean_sbmnum,t_mean_score,t_mean_pfm_mem,t_max_pfm_mem,t_min_pfm_mem,t_mean_pfm_tc,t_max_pfm_tc,t_min_pfm_tc,t_subtime_f,t_subtime_l,t_period,t_methodNum
0,Question_3MwAFlmNO8EKrpY5zjUd,2,t5V9e,t5V9e_e1k6cixp,1,1,702,7.630434782608695,40.313390313390315,268.05839416058393,500,184,3.9358974358974357,13,1,2023-09-27 13:24:36,2023-12-30 16:05:17,94 days 02:40:41,[111 175 127 149 140]
1,Question_3oPyUzDmQtcMfLpGZ0jW,2,t5V9e,t5V9e_e1k6cixp,1,1,396,4.351648351648351,30.555555555555557,273.5686274509804,488,180,4.466836734693878,10,1,2023-09-25 08:16:59,2023-12-30 15:45:31,96 days 07:28:32,[85 79 60 80 92]
2,Question_4nHcauCQ0Y6Pm8DgKlLo,3,m3D1v,m3D1v_r1d7fr3l,1,1,262,2.943820224719101,54.83460559796437,313.61316872427983,508,188,4.202290076335878,11,1,2023-09-29 12:43:54,2023-12-30 23:11:45,92 days 10:27:51,[56 49 44 60 53]
3,Question_5fgqjSBwTPG7KUV3it6O,3,g7R2j,g7R2j_e0v1yls8,1,1,842,9.152173913043478,47.30799683293745,354.2629482071713,732,192,4.3240628778718255,13,1,2023-10-14 14:50:21,2024-01-02 15:55:36,80 days 01:05:15,[191 145 199 132 175]
4,Question_62XbhBvJ8NUSnApgDL94,3,y9W5d,y9W5d_c0w4mj5h,1,1,366,3.9782608695652173,42.9872495446266,635.5987460815047,8544,184,3.554016620498615,10,1,2023-10-08 12:46:44,2023-12-31 06:09:47,83 days 17:23:03,[81 74 66 72 73]
5,Question_6RQj2gF3OeK5AmDvThUV,3,m3D1v,m3D1v_r1d7fr3l,1,1,205,2.411764705882353,52.357723577235774,317.9259259259259,512,192,4.083333333333333,9,1,2023-09-29 12:09:45,2023-12-30 23:05:59,92 days 10:56:14,[51 35 33 42 44]
6,Question_7NJzCXUPcvQF4Mkfh9Wr,3,m3D1v,m3D1v_v3d9is1x,1,1,250,2.808988764044944,41.333333333333336,335.06976744186045,824,184,3.957805907172996,16,1,2023-10-06 14:58:34,2023-12-29 12:59:59,83 days 22:01:25,[46 52 60 50 42]
7,Question_Az73sM0rHfWVKuc4X2kL,3,y9W5d,y9W5d_p8g6dgtv,1,1,487,5.293478260869565,48.459958932238195,352.46082949308754,640,192,3.910973084886128,17,1,2023-10-15 14:22:57,2023-12-31 06:13:51,76 days 15:50:54,[105  92 104  96  90]
8,Question_BW0ItEaymH3TkD6S15JF,1,r8S3g,r8S3g_n0m9rsw4,1,1,244,2.772727272727273,37.295081967213115,253.94475138121547,488,172,3.7131147540983607,9,1,2023-09-19 14:40:44,2023-12-31 00:54:36,102 days 10:13:52,[64 48 52 42 38]
9,Question_EhVPdmlB31M8WKGqL0wc,3,y9W5d,y9W5d_e2j7p95s,1,1,601,6.532608695652174,38.49140321686079,391.690036900369,836,180,3.71118530884808,15,1,2023-10-08 14:39:04,2024-01-02 15:32:41,86 days 00:53:37,[158 122 148  78  95]
10,Question_Ej5mBw9rsOUKkFycGvz2,3,y9W5d,y9W5d_c0w4mj5h,1,1,408,4.434782608695652,41.50326797385621,356.85561497326205,640,192,4.124681933842239,17,1,2023-10-08 11:54:35,2023-12-31 00:32:13,83 days 12:37:38,[55 91 72 99 91]
11,Question_FNg8X9v5zcbB1tQrxHR3,4,b3C9s,b3C9s_j0v1yls8,1,1,410,4.5054945054945055,41.09756097560975,369.8247734138973,624,180,3.046341463414634,18,1,2023-10-09 06:31:22,2024-01-02 15:29:33,85 days 08:58:11,[80 85 97 74 74]
12,Question_Jr4Wz5jLqmN01KUwHa7g,3,m3D1v,m3D1v_t0v5ts9h,1,1,354,3.89010989010989,38.983050847457626,343.5331230283912,604,184,6.262686567164179,67,1,2023-10-07 09:01:55,2023-12-22 13:38:56,76 days 04:37:01,[86 71 62 65 70]
13,Question_Mh4CZIsrEfxkP1wXtOYV,3,y9W5d,y9W5d_c0w4mj5h,1,1,277,3.043956043956044,36.462093862815884,294.3426294820717,696,180,3.068592057761733,9,1,2023-10-08 12:30:49,2024-01-01 03:37:50,84 days 15:07:01,[41 62 59 70 45]
14,Question_NixCn84GdK2tySa5rB1V,3,m3D1v,m3D1v_r1d7fr3l,1,1,157,1.9625,53.92781316348195,328.1203007518797,636,192,3.871794871794872,15,1,2023-09-29 13:29:15,2023-11-30 02:11:05,61 days 12:41:50,[47 32 25 18 35]
15,Question_Ou3f2Wt9BqExm5DpN7Zk,3,y9W5d,y9W5d_p8g6dgtv,1,1,186,2.1379310344827585,60.93189964157706,354.72527472527474,512,196,3.629032258064516,11,1,2023-10-08 13:45:58,2023-12-31 06:13:19,83 days 16:27:21,[44 26 40 48 28]
16,Question_QRm48lXxzdP7Tn1WgNOf,3,y9W5d m3D1v,y9W5d_c0w4mj5h m3D1v_r1d7fr3l,2,2,403,4.380434782608695,52.191894127378,341.40369393139844,692,192,3.5656565656565657,19,1,2023-10-07 09:14:29,2023-12-31 00:36:05,84 days 15:21:36,[ 68  77  66 101  91]
17,Question_TmKaGvfNoXYq4FZ2JrBu,3,m3D1v,m3D1v_r1d7fr3l,1,1,324,3.5604395604395602,36.11111111111111,346.77031802120143,612,184,3.6327868852459018,15,1,2023-09-29 13:17:35,2023-12-30 23:28:30,92 days 10:10:55,[55 82 66 62 59]
18,Question_UXqN1F7G3Sbldz02vZne,3,y9W5d,y9W5d_c0w4mj5h,1,1,301,3.3444444444444446,57.032115171650055,354.36641221374043,732,128,3.6784452296819787,12,1,2023-10-08 13:35:44,2023-12-31 06:11:11,83 days 16:35:27,[57 67 60 70 47]
