index,title_ID,score,knowledge,sub_knowledge,knowledge_num,sub_knowledge_num,t_sbmnum,t_mean_sbmnum,t_mean_score,t_mean_pfm_mem,t_max_pfm_mem,t_min_pfm_mem,t_mean_pfm_tc,t_max_pfm_tc,t_min_pfm_tc,t_subtime_f,t_subtime_l,t_period,t_methodNum
0,Question_3MwAFlmNO8EKrpY5zjUd,2,t5V9e,t5V9e_e1k6cixp,1,1,870,8.877551020408163,40.86206896551724,329.96535433070864,732,180,3.4517241379310346,10,1,2023-09-28 00:29:59,2023-12-13 11:04:47,76 days 10:34:48,[147 164 174 210 175]
1,Question_3oPyUzDmQtcMfLpGZ0jW,2,t5V9e,t5V9e_e1k6cixp,1,1,651,6.642857142857143,23.886328725038403,329.6492027334852,512,180,3.5668202764976957,14,1,2023-09-28 00:16:13,2023-12-13 11:45:26,76 days 11:29:13,[146 124 118 140 123]
2,Question_4nHcauCQ0Y6Pm8DgKlLo,3,m3D1v,m3D1v_r1d7fr3l,1,1,391,4.030927835051546,44.07502131287298,359.1977077363897,628,188,16.779291553133515,400,1,2023-09-28 00:47:39,2023-12-13 11:54:30,76 days 11:06:51,[82 98 76 66 69]
3,Question_5fgqjSBwTPG7KUV3it6O,3,g7R2j,g7R2j_e0v1yls8,1,1,917,9.357142857142858,47.582697201017815,392.1947565543071,2296,188,100.17386489479513,400,1,2023-09-28 07:20:04,2023-12-16 15:22:11,79 days 08:02:07,[176 171 188 194 188]
4,Question_62XbhBvJ8NUSnApgDL94,3,y9W5d,y9W5d_c0w4mj5h,1,1,492,5.125,43.08943089430895,801.5466666666666,8656,184,8.2,400,1,2023-09-28 02:00:11,2023-12-15 12:06:43,78 days 10:06:32,[ 94 103 105  79 111]
5,Question_6RQj2gF3OeK5AmDvThUV,3,m3D1v,m3D1v_r1d7fr3l,1,1,403,4.154639175257732,36.72456575682382,355.08496732026146,624,184,3.63659793814433,11,1,2023-09-28 00:45:22,2023-12-13 11:52:29,76 days 11:07:07,[ 76  74  76 103  74]
6,Question_7NJzCXUPcvQF4Mkfh9Wr,3,m3D1v,m3D1v_v3d9is1x,1,1,293,3.117021276595745,41.63822525597269,580.5224489795918,27188,192,9.731617647058824,400,1,2023-09-28 01:06:52,2023-12-16 15:44:00,79 days 14:37:08,[49 46 55 78 65]
7,Question_Az73sM0rHfWVKuc4X2kL,3,y9W5d,y9W5d_p8g6dgtv,1,1,619,6.316326530612245,39.63381798599892,589.598440545809,41812,188,9.892332789559543,400,1,2023-09-28 02:51:39,2023-12-16 14:30:12,79 days 11:38:33,[110 115 150 139 105]
8,Question_BW0ItEaymH3TkD6S15JF,1,r8S3g,r8S3g_n0m9rsw4,1,1,378,3.9375,29.365079365079367,287.23745819397993,632,180,3.425925925925926,11,1,2023-09-28 00:11:46,2023-12-09 03:19:00,72 days 03:07:14,[93 83 62 82 58]
9,Question_EhVPdmlB31M8WKGqL0wc,3,y9W5d,y9W5d_e2j7p95s,1,1,764,7.795918367346939,34.20593368237348,400.57062146892656,768,188,6.904635761589404,400,1,2023-09-28 03:10:41,2023-12-16 14:39:28,79 days 11:28:47,[154 147 149 171 143]
