student_ID,class,major,score_bonus,tc_bonus,mem_bonus,_error_type_penalty,_test_num_penalty,explore_bonus,enthusiasm_bonus,rank_bonus
0088dc183f73c83f763e,Class2,J40192,1.0,0.9504763062697205,0.7417914442044301,0.7593333333333334,0.933717703468834,0.008941136263117688,0.4621283782100396,0.4463775022581657
00cbf05221bb479e66c3,Class10,J23517,1.0,0.9114197738988714,0.7242974910207678,0.6517619047619049,0.9254731669335107,0.009544715209599501,0.44078866535820277,0.5039965075565805
00df647ee4bf7173642f,Class14,J57489,1.0,0.9158657071253973,0.6700862283697393,0.5792142857142859,0.7930090427106589,0.029498043398043405,0.7109277651439565,0.7212584809939737
0107f72b66cbd1a0926d,Class5,J87654,1.0,0.9484416926309541,0.7788916258288825,0.8325238095238093,0.9663043988619836,0.0016216216216216218,0.5573344428570653,0.6742375009448004
011d454f199c123d44ad,Class3,J78901,1.0,0.9690724477067694,0.7592278585865792,0.7353095238095237,0.9172005435026033,0.007012987012987013,0.26314322852973515,0.38757813128272894
01558eef77a8d39b7103,Class15,J57489,1.0,0.9475138430237594,0.6977967874756377,0.8275476190476191,0.9557881982367605,0.002177899499880924,0.4463536841326187,0.3773026746504965
016226278e6a69e10aa4,Class4,J78901,1.0,0.9275085093779039,0.812680066349225,0.6874285714285713,0.9185598681368385,0.0014823529411764705,0.49444424378359214,0.7117626064367161
01a691413dc5897db83f,Class13,J57489,1.0,0.9193377512190817,0.6923991169241084,0.5322380952380952,0.7569398074097602,0.01983974358974359,0.585924638036845,0.6430907562561863
01d8aa21ef476b66c573,Class1,J87654,1.0,0.9534333158588758,0.7347276185864533,0.777047619047619,0.9234147961799843,0.0029027726659305603,0.4987672835587661,0.49141637898721685
01qkq6w2v62cimidb3b7,Class6,J57489,0.59,0.4943154779640697,0.3878567730011303,0.6213333333333333,0.872710969982332,0.020104785954151085,0.4745118133118472,0.3234607729253893
02068067a434adb6556a,Class11,J23517,0.0,0.0,0.0,0.0075,0.009047619047619047,0.0,0.008700228218010116,0.00010526315789473606
0258f681a9e1756dfc76,Class6,J78901,1.0,0.9485676026954706,0.6925315059695817,0.6514285714285716,0.8160787144820104,0.023524919945919022,0.5930750001525251,0.712959678857295
03754dce5ec7731fb3e2,Class5,J23517,1.0,0.9648253666637302,0.9053448858334587,0.7866428571428571,0.9576112116073126,0.10114516549681954,0.8287249470915198,0.9901148066279127
037a76bc8e6bf5fe1fc0,Class11,J78901,1.0,0.957594686886557,0.6761373166093684,0.9892857142857143,0.9986247877758914,0.0,0.09472942018419774,0.3037906144273473
03aa0b20dd4af1888eef,Class1,J23517,1.0,0.9720505344623427,0.7416225778038552,0.7106190476190477,0.9284867244637698,0.040123190703227424,0.4922906901321128,0.45512368211208426
03b463f52c0fff35433b,Class10,J57489,1.0,0.9149862345222468,0.7348798168811429,0.9007619047619047,0.9835598468943216,0.0015375,0.25939012154150143,0.34409254718171306
03e0c9bff3a9557480d9,Class5,J23517,0.85,0.7417715015218254,0.5529622363048168,0.7975,0.9091066450631528,0.0012903225806451613,0.22420625415252238,0.2635389255184869
04f2689b4ea16d8d7d9a,Class6,J78901,0.83,0.6808468968070871,0.489270120090681,0.5882142857142856,0.7534662349104546,0.017,0.49521990164326896,0.4817530989915215
0557b1363a5092b5811f,Class11,J40192,1.0,0.9180300051452006,0.7055854794590626,0.570047619047619,0.7931276238875877,0.056893831605202554,0.6554425363275003,0.7483293132705162
0559e9cf806dab4cc20d,Class9,J78901,1.0,0.9118897804024282,0.754174340283282,0.6181428571428572,0.8741316789225393,0.001,0.748838837754697,0.7457695240243425
056ab41140f68c15db14,Class14,J57489,1.0,0.9067431064750124,0.6829009046934993,0.7517142857142857,0.8889949957911507,0.016429280397022336,0.5087365057095297,0.5715045229503851
058c03d945c4ae0978a0,Class2,J87654,1.0,0.9484990855264718,0.7053983237764604,0.8853809523809524,0.9748140056911164,0.0017,0.3799660887272141,0.3477612679224492
05e1c3ce1728da7e37e0,Class6,J87654,0.52,0.49195397742680513,0.3998957311965481,0.4722142857142857,0.5308621726432647,0.006076505016722408,0.037416631712746715,0.09542408194221076
05e6d9723ab3cde0841d,Class6,J57489,1.0,0.9396724571651857,0.728113243451419,0.5490238095238097,0.7693809652274785,0.004459194926936863,0.7556251308247224,0.8794873994748041
061db2c91f94c612f2d4,Class4,J57489,1.0,0.9219028259688291,0.762011703511246,0.9342857142857143,0.9878075251687721,0.0,0.5973607486657477,0.8005062337231217
06309f4c8785254f4c13,Class14,J78901,1.0,0.9377367094302917,0.7130191073547765,0.9239285714285715,0.9859193264142725,0.0,0.08177314872240393,0.2891429735979581
06aff3e28c5db152f506,Class2,J40192,1.0,0.9591485510949848,0.8547460348528639,0.797547619047619,0.9730156160894216,0.03506563268008045,0.7096036085756724,0.9428279520383824
