student_ID,sex,age,major,class,st_score,st_pfm_tc,st_pfm_mem,st_errs,st_testNum,st_exploreNum,st_time_f,st_time_mean,st_time_l,st_time_best,st_rank
0088dc183f73c83f763e,female,20,J40192,Class2,1.0,0.9504763062697205,0.7417914442044301,1.33,3.87,0.16,0.5138520797267013,0.5378716217899604,0.5607416123628292,0.5408567125425222,0.5536224977418344
00cbf05221bb479e66c3,female,19,J23517,Class10,1.0,0.9114197738988714,0.7242974910207678,1.93,4.06,0.38,0.5526670448357327,0.5592113346417973,0.5623565969920014,0.5620060650779726,0.4960034924434195
00df647ee4bf7173642f,male,23,J57489,Class14,1.0,0.9158657071253973,0.6700862283697393,2.39,11.37,0.75,0.26408405875892654,0.2890722348560435,0.34197946625327746,0.33875429838404264,0.27874151900602634
0107f72b66cbd1a0926d,female,20,J87654,Class5,1.0,0.9484416926309541,0.7788916258288825,0.99,1.97,0.06,0.43371330294788973,0.4426655571429346,0.45202654966549877,0.45202638997149186,0.32576249905519944
011d454f199c123d44ad,male,22,J78901,Class3,1.0,0.9690724477067694,0.7592278585865792,1.45,4.39,0.09,0.7326189239483749,0.7368567714702648,0.7404825955008008,0.740481004972505,0.612421868717271
01558eef77a8d39b7103,female,18,J57489,Class15,1.0,0.9475138430237591,0.6977967874756377,0.95,2.56,0.05,0.5415479579653337,0.5536463158673813,0.5607117157362453,0.5607115480612527,0.6226973253495034
016226278e6a69e10aa4,female,22,J78901,Class4,1.0,0.9275085093779037,0.812680066349225,1.73,4.64,0.06,0.4961735166096659,0.5055557562164079,0.5149305992564421,0.5107826928659177,0.288237393563284
01a691413dc5897db83f,male,18,J57489,Class13,1.0,0.9193377512190817,0.6923991169241084,2.69,12.77,0.65,0.3956871446410928,0.41407536196315503,0.43616428768228976,0.43613394360072333,0.35690924374381355
01d8aa21ef476b66c573,male,18,J87654,Class1,1.0,0.9534333158588758,0.7347276185864533,1.28,3.78,0.09,0.49409237420002383,0.5012327164412339,0.5093761594531752,0.509371071269784,0.5085836210127832
01qkq6w2v62cimidb3b7,female,19,J57489,Class6,0.6483516483516484,0.5432038219385381,0.4262162340671761,1.7582417582417582,2.318681318681319,0.6373626373626373,0.3292839224320652,0.478558446910058,0.6492831544796419,0.48648998719344133,0.6445486011808909
02068067a434adb6556a,female,18,J23517,Class11,0.0,0.0,0.0,1.0,4.0,0.0,0.1299750717676066,0.1299771781989884,0.1299792420762009,0.1299750717676066,0.9894736842105263
